Description Deliciousness Size Toastability Satiation Complexity
Ham 3 2 3 5 0
Reuben 8 6 7 8 5
Club_Sandwich 6 0 8 9 9
Cheese_and_Pickle 7 3 5 6 3
Marmite 10 0 10 0 0
Cheese_and_Jam 8 3 6 5 2
Prawn_Mayonnaise 4 4 0 4 5
Tuna_Melt 7 6 8 7 4
Banh-Mi 8 7 3 6 9
Croque_Monsieur 6 4 9 5 3
Croque_Madame 7 5 9 6 7
Just_butter 4 2 2 3 0
Scooby_snack 3 10 4 10 10
Cuban 7 6 8 7 8
Doner_Kebab 6 8 5 9 3
Elvis 5 10 3 9 4
Falafel_wrap 7 6 3 8 6
Fish_Taco 8 3 0 5 7
Cheese_Savoury 1 3 4 2 2
Hot_Dog 4 3 3 5 2
Jeely_Piece 6 2 2 4 3
Katsu_sando 5 5 3 7 6
Sloppy_Joe 6 7 4 8 7
Smørrebrød 7 4 2 3 5
Panini 6 4 8 7 4
Avocado_on_Toast 8 3 5 7 2
Hawaiian_Toast 7 3 7 7 3
Burrito 6 7 3 8 8
Super_burrito 7 8 4 9 9
Bacon_roll 9 8 4 5 2
Cucumber 2 2 0 0 7
Boxing_Day_Sandwich 9 9 3 3 4
Hummus_Pita 3 4 3 7 2
Peanut_Butter_and_Jelly 5 4 6 7 2
Crisp_Sandwich 7 3 2 7 2
Roast_Beef_and_Mustard 6 4 3 6 5
Nutella 5 3 6 4 0
Marmalade_on_Toast 7 2 7 1 3 
Hot_Buttered_Crumpet 8 2 8 3 1
3AM_Big_Mac 10 4 3 2 1
